accession,Strain,lineage,passed
GCA_001946275.1_ASM194627v1,I0001539-1,LIN-4,TRUE
GCA_001842585.1_ASM184258v1,I0001547-4,LIN-4,TRUE
GCA_001944695.1_ASM194469v1,I0001560-7,LIN-4,TRUE
GCA_001946405.1_ASM194640v1,I0001583-9,LIN-4,TRUE
GCA_001946355.1_ASM194635v1,I0001620-9,LIN-4,TRUE
GCA_001944925.1_ASM194492v1,I0001631-6,LIN-4,TRUE
GCA_001945045.1_ASM194504v1,I0001646-4,LIN-4,TRUE
GCF_001944715.1_ASM194471v1,I0001650-6,LIN-4,TRUE
GCA_001843185.1_ASM184318v1,I0001652-2,LIN-4,TRUE
GCA_001843655.1_ASM184365v1,I0001659-7,LIN-4,TRUE
GCF_001843705.1_ASM184370v1,I0001662-1,LIN-4,TRUE
GCA_001946495.1_ASM194649v1,I0001672-0,LIN-4,TRUE
GCA_001843475.1_ASM184347v1,I0001703-3,LIN-4,TRUE
GCA_001947305.1_ASM194730v1,I0001711-6,LIN-4,TRUE
GCA_001843325.1_ASM184332v1,I0001770-2,LIN-4,TRUE
GCA_001843565.1_ASM184356v1,I0001800-7,LIN-4,TRUE
GCA_001844475.1_ASM184447v1,I0001815-5,LIN-4,TRUE
GCA_001844525.1_ASM184452v1,I0001852-8,LIN-4,TRUE
GCA_001947355.1_ASM194735v1,I0001886-6,LIN-4,TRUE
GCA_001947385.1_ASM194738v1,I0001905-4,LIN-4,TRUE
GCA_001843375.1_ASM184337v1,I0001927-8,LIN-4,TRUE
GCA_001946425.1_ASM194642v1,I0001929-4,LIN-4,TRUE
GCA_001946325.1_ASM194632v1,I0001939-3,LIN-4,TRUE
GCA_001843515.1_ASM184351v1,I0001942-7,LIN-4,TRUE
GCA_001942975.1_ASM194297v1,I0001945-0,LIN-4,TRUE
GCA_001843785.1_ASM184378v1,I0001962-5,LIN-4,TRUE
GCA_001845545.1_ASM184554v1,I0002006-0,LIN-4,TRUE
GCA_001943585.1_ASM194358v1,I0002012-8,LIN-4,TRUE
GCF_001843435.1_ASM184343v1,I0002035-9,LIN-4,TRUE
GCA_001843425.1_ASM184342v1,I0002058-1,LIN-4,TRUE
GCA_001843165.1_ASM184316v1,I0002066-4,LIN-4,TRUE
GCA_001943975.1_ASM194397v1,I0002074-8,LIN-4,TRUE
GCA_001845485.1_ASM184548v1,I0002081-3,LIN-4,TRUE
GCA_001945285.1_ASM194528v1,I0002107-6,LIN-4,TRUE
GCA_001842595.1_ASM184259v1,I0002124-1,LIN-4,TRUE
GCA_001947345.1_ASM194734v1,I0002138-1,LIN-4,TRUE
GCA_001844015.1_ASM184401v1,I0002145-6,LIN-4,TRUE
GCA_001843745.1_ASM184374v1,I0002150-6,LIN-4,TRUE
GCA_001843965.1_ASM184396v1,I0002154-8,LIN-4,TRUE
GCA_001843725.1_ASM184372v1,I0002160-5,LIN-4,TRUE
GCA_001843805.1_ASM184380v1,I0002167-0,LIN-4,TRUE
GCA_001948225.1_ASM194822v1,I0002176-1,LIN-4,TRUE
GCA_001944635.1_ASM194463v1,I0002256-1,LIN-4,TRUE
GCA_001942965.1_ASM194296v1,I0002269-4,LIN-4,TRUE
GCA_001946565.1_ASM194656v1,I0002288-4,LIN-4,TRUE
GCA_001946435.1_ASM194643v1,I0002335-3,LIN-4,TRUE
GCA_001843505.1_ASM184350v1,I0002341-1,LIN-2,TRUE
GCF_001895845.1_ASM189584v1,I0002353-6,LIN-4,TRUE
GCA_001948215.1_ASM194821v1,I0002394-0,LIN-4,TRUE
GCA_001843615.1_ASM184361v1,I0002416-1,LIN-4,TRUE
GCA_001946485.1_ASM194648v1,I0002435-1,LIN-4,TRUE
GCA_001944235.1_ASM194423v1,I0002450-0,LIN-4,TRUE
GCA_001844265.1_ASM184426v1,I0002457-5,LIN-4,TRUE
GCA_001843895.1_ASM184389v1,I0002458-3,LIN-4,TRUE
GCA_001843815.1_ASM184381v1,I0002483-1,LIN-4,TRUE
GCF_001844085.1_ASM184408v1,I0002531-7,LIN-4,TRUE
GCA_001948365.1_ASM194836v1,I0002560-6,LIN-2,TRUE
GCA_001844215.1_ASM184421v1,I0002578-8,LIN-4,TRUE
GCA_001843845.1_ASM184384v1,I0002604-2,LIN-4,TRUE
GCA_001946655.1_ASM194665v1,I0002609-1,LIN-4,TRUE
GCA_001844355.1_ASM184435v1,I0002615-8,LIN-4,TRUE
GCA_001946575.1_ASM194657v1,I0002627-3,LIN-4,TRUE
GCA_001946605.1_ASM194660v1,I0002631-5,LIN-4,TRUE
GCA_001943265.1_ASM194326v1,I0002659-6,LIN-4,TRUE
GCA_001948255.1_ASM194825v1,I0002664-6,LIN-4,TRUE
GCF_001943285.1_ASM194328v1,I0002681-0,LIN-4,TRUE
GCA_001948295.1_ASM194829v1,I0002687-7,LIN-4,TRUE
GCA_001947445.1_ASM194744v1,I0002711-5,LIN-4,TRUE
GCF_001844775.1_ASM184477v1,I0002742-0,LIN-2,TRUE
GCA_001844615.1_ASM184461v1,I0002745-3,LIN-4,TRUE
GCA_001844045.1_ASM184404v1,I0002781-8,LIN-4,TRUE
GCA_001945315.1_ASM194531v1,I0002793-3,LIN-4,TRUE
GCA_001947425.1_ASM194742v1,I0002794-1,LIN-4,TRUE
GCF_001895825.1_ASM189582v1,I0002801-4,LIN-4,TRUE
GCA_001944205.1_ASM194420v1,I0002815-4,LIN-4,TRUE
GCF_001948285.1_ASM194828v1,I0002837-8,LIN-4,TRUE
GCA_001944775.1_ASM194477v1,I0002848-5,LIN-4,TRUE
GCA_001948465.1_ASM194846v1,I0002881-6,LIN-4,TRUE
GCA_001947525.1_ASM194752v1,I0002891-5,LIN-4,TRUE
GCA_001948375.1_ASM194837v1,I0002904-6,LIN-4,TRUE
GCA_001855915.1_ASM185591v1,I0002918-6,LIN-4,TRUE
GCA_001946815.1_ASM194681v1,I0002932-7,LIN-4,TRUE
GCA_001844435.1_ASM184443v1,I0002935-0,LIN-4,TRUE
GCA_001844145.1_ASM184414v1,I0002941-8,LIN-4,TRUE
GCA_001946585.1_ASM194658v1,I0002943-4,LIN-4,TRUE
GCA_001844275.1_ASM184427v1,I0002958-2,LIN-4,TRUE
GCA_001944065.1_ASM194406v1,I0002960-8,LIN-4,TRUE
GCA_001946675.1_ASM194667v1,I0002973-1,LIN-2,TRUE
GCA_001942655.1_ASM194265v1,I0002978-0,LIN-4,TRUE
GCF_001844535.1_ASM184453v1,I0002987-1,LIN-4,TRUE
GCA_001948455.1_ASM194845v1,I0002991-3,LIN-4,TRUE
GCA_001844605.1_ASM184460v1,I0002995-4,LIN-4,TRUE
GCA_001945205.1_ASM194520v1,I0003015-0,LIN-4,TRUE
GCF_001844625.1_ASM184462v1,I0003020-0,LIN-4,TRUE
GCA_001943025.1_ASM194302v1,I0003060-6,LIN-2,TRUE
GCF_001942735.1_ASM194273v1,I0003078-8,LIN-4,TRUE
GCF_001948525.1_ASM194852v1,I0003083-8,LIN-4,TRUE
GCF_001842485.1_ASM184248v1,I0003088-7,LIN-4,TRUE
GCA_001844695.1_ASM184469v1,I0003090-3,LIN-4,TRUE
GCA_001948775.1_ASM194877v1,I0003112-5,LIN-4,TRUE
GCA_001845335.1_ASM184533v1,I0003120-8,LIN-2,TRUE
GCF_001948135.1_ASM194813v1,I0003126-5,LIN-4,TRUE
GCA_001946505.1_ASM194650v1,I0003147-1,LIN-4,TRUE
GCA_001943995.1_ASM194399v1,I0003150-5,LIN-4,TRUE
GCA_001843925.1_ASM184392v1,I0003152-1,LIN-4,TRUE
GCA_001943735.1_ASM194373v1,I0003154-7,LIN-4,TRUE
GCA_001944945.1_ASM194494v1,I0003165-3,LIN-4,TRUE
GCA_001843935.1_ASM184393v1,I0003168-7,LIN-4,TRUE
GCF_001844245.1_ASM184424v1,I0003172-9,LIN-4,TRUE
GCA_001942815.1_ASM194281v1,I0003179-4,LIN-4,TRUE
GCA_001946965.1_ASM194696v1,I0003192-7,LIN-4,TRUE
GCA_001948785.1_ASM194878v1,I0003206-5,LIN-4,TRUE
GCA_001845245.1_ASM184524v1,I0003211-5,LIN-4,TRUE
GCA_001844955.1_ASM184495v1,I0003213-1,LIN-4,TRUE
GCF_001844065.1_ASM184406v1,I0003229-7,LIN-4,TRUE
GCF_001943225.1_ASM194322v1,I0003232-1,LIN-4,TRUE
GCF_001947515.1_ASM194751v1,I0003246-1,LIN-4,TRUE
GCF_001947215.1_ASM194721v1,I0003252-9,LIN-4,TRUE
GCA_001844995.1_ASM184499v1,I0003270-1,LIN-4,TRUE
GCA_001948305.1_ASM194830v1,I0003277-6,LIN-4,TRUE
GCA_001948385.1_ASM194838v1,I0003297-4,LIN-4,TRUE
GCA_001946645.1_ASM194664v1,I0003305-5,LIN-4,TRUE
GCA_001948845.1_ASM194884v1,I0003329-5,LIN-4,TRUE
GCA_001948705.1_ASM194870v1,I0003338-6,LIN-4,TRUE
GCA_001843095.1_ASM184309v1,I0003342-8,LIN-4,TRUE
GCA_001947905.1_ASM194790v1,I0003367-5,LIN-4,TRUE
GCA_001843465.1_ASM184346v1,I0003372-5,LIN-4,TRUE
GCA_001947115.1_ASM194711v1,I0003376-6,LIN-4,TRUE
GCA_001844425.1_ASM184442v1,I0003380-8,LIN-4,TRUE
GCA_001943045.1_ASM194304v1,I0003398-0,LIN-4,TRUE
GCA_001943195.1_ASM194319v1,I0003401-2,LIN-4,TRUE
GCA_001946705.1_ASM194670v1,I0003405-3,LIN-4,TRUE
GCA_001947505.1_ASM194750v1,I0003417-8,LIN-4,TRUE
GCA_001844105.1_ASM184410v1,I0003426-9,LIN-4,TRUE
GCA_001943035.1_ASM194303v1,I0003447-5,LIN-4,TRUE
GCA_001844295.1_ASM184429v1,I0003452-5,LIN-4,TRUE
GCA_001844545.1_ASM184454v1,I0003461-6,LIN-4,TRUE
GCA_001945025.1_ASM194502v1,I0003466-5,LIN-4,TRUE
GCF_001947585.1_ASM194758v1,I0003474-9,LIN-4,TRUE
GCA_001943835.1_ASM194383v1,I0003489-7,LIN-4,TRUE
GCA_001844465.1_ASM184446v1,I0003504-3,LIN-4,TRUE
GCA_001844735.1_ASM184473v1,I0003510-0,LIN-4,TRUE
GCA_001943675.1_ASM194367v1,I0003518-3,LIN-4,TRUE
GCA_001944525.1_ASM194452v1,I0003525-8,LIN-4,TRUE
GCF_001942785.1_ASM194278v1,I0003529-0,LIN-4,TRUE
GCA_001844175.1_ASM184417v1,I0003546-4,LIN-4,TRUE
GCA_001844195.1_ASM184419v1,I0003552-2,LIN-4,TRUE
GCA_001948315.1_ASM194831v1,I0003569-6,LIN-2,TRUE
GCA_001844325.1_ASM184432v1,I0003578-7,LIN-4,TRUE
GCF_001844345.1_ASM184434v1,I0003584-5,LIN-4,TRUE
GCA_001943355.1_ASM194335v1,I0003598-5,LIN-2,TRUE
GCA_001944465.1_ASM194446v1,I0003603-3,LIN-4,TRUE
GCA_001948615.1_ASM194861v1,I0003622-3,LIN-4,TRUE
GCA_001845085.1_ASM184508v1,I0003630-6,LIN-2,TRUE
GCA_001844655.1_ASM184465v1,I0003636-3,LIN-4,TRUE
GCA_001844925.1_ASM184492v1,I0003707-2,LIN-4,TRUE
GCA_001844985.1_ASM184498v1,I0003710-6,LIN-4,TRUE
GCA_001947895.1_ASM194789v1,I0003711-4,LIN-4,TRUE
GCA_001944335.1_ASM194433v1,I0003715-5,LIN-4,TRUE
GCA_001946895.1_ASM194689v1,I0003719-7,LIN-4,TRUE
GCA_001845075.1_ASM184507v1,I0003758-5,LIN-4,TRUE
GCA_001844585.1_ASM184458v1,I0003766-8,LIN-4,TRUE
GCA_001947685.1_ASM194768v1,I0003780-9,LIN-4,TRUE
GCA_001943815.1_ASM194381v1,I0003802-1,LIN-4,TRUE
GCA_001942705.1_ASM194270v1,I0003813-8,LIN-2,TRUE
GCA_001845145.1_ASM184514v1,I0003819-5,LIN-4,TRUE
GCA_001948725.1_ASM194872v1,I0003826-0,LIN-4,TRUE
GCA_001947675.1_ASM194767v1,I0003844-3,LIN-4,TRUE
GCA_001942715.1_ASM194271v1,I0003860-9,LIN-4,TRUE
GCA_001845275.1_ASM184527v1,I0003888-0,LIN-4,TRUE
GCA_001946995.1_ASM194699v1,I0003889-8,LIN-4,TRUE
GCF_001855955.1_ASM185595v1,I0003905-2,LIN-2,TRUE
GCA_001845065.1_ASM184506v1,I0003922-7,LIN-4,TRUE
GCA_001947615.1_ASM194761v1,I0003933-4,LIN-2,TRUE
GCF_001844875.1_ASM184487v1,I0003938-3,LIN-4,TRUE
GCA_001946875.1_ASM194687v1,I0003964-9,LIN-4,TRUE
GCA_001948625.1_ASM194862v1,I0003998-7,LIN-4,TRUE
GCF_001895805.1_ASM189580v1,I0004000-1,LIN-4,TRUE
GCF_001942805.1_ASM194280v1,I0004003-5,LIN-4,TRUE
GCA_001943655.1_ASM194365v1,I0004013-4,LIN-4,TRUE
GCA_001942725.1_ASM194272v1,I0004037-3,LIN-4,TRUE
GCA_001947745.1_ASM194774v1,I0004050-6,LIN-4,TRUE
GCF_001942865.1_ASM194286v1,I0004064-7,LIN-4,TRUE
GCA_001845105.1_ASM184510v1,I0004078-7,LIN-4,TRUE
GCA_001947765.1_ASM194776v1,I0004083-7,LIN-2,TRUE
GCA_001943965.1_ASM194396v1,I0004105-8,LIN-4,TRUE
GCA_001943205.1_ASM194320v1,I0004125-6,LIN-4,TRUE
GCA_001942795.1_ASM194279v1,I0004133-0,LIN-4,TRUE
GCA_001844765.1_ASM184476v1,I0004139-7,LIN-4,TRUE
GCA_001946755.1_ASM194675v1,I0004144-7,LIN-4,TRUE
GCF_001948805.1_ASM194880v1,I0004154-6,LIN-4,TRUE
GCA_001844805.1_ASM184480v1,I0004158-7,LIN-4,TRUE
GCA_001943515.1_ASM194351v1,I0004172-8,LIN-4,TRUE
GCA_001844945.1_ASM184494v1,I0004188-4,"LIN-4 (0.186509077289), LIN-2 (0.813490922711)",FALSE
GCA_001845165.1_ASM184516v1,I0004204-9,LIN-4,TRUE
GCF_001845225.1_ASM184522v1,I0004205-6,LIN-4,TRUE
GCA_001947665.1_ASM194766v1,I0004216-3,LIN-4,TRUE
GCA_001855945.1_ASM185594v1,I0004220-5,LIN-4,TRUE
GCF_001946955.1_ASM194695v1,I0004228-8,LIN-4,TRUE
GCF_001845045.1_ASM184504v1,I0004236-1,LIN-4,TRUE
GCA_001948475.1_ASM194847v1,I0004237-9,LIN-4,TRUE
GCA_001944145.1_ASM194414v1,I0004240-3,LIN-4,TRUE
GCF_001895765.1_ASM189576v1,I0004241-1,LIN-4,TRUE
GCA_001946835.1_ASM194683v1,I0004243-7,LIN-4,TRUE
GCA_001855985.1_ASM185598v1,I0004244-5,LIN-4,TRUE
GCA_001947595.1_ASM194759v1,I0004247-8,LIN-4,TRUE
GCF_001943575.1_ASM194357v1,I0004251-0,LIN-4,TRUE
GCA_001946785.1_ASM194678v1,I0004260-1,LIN-4,TRUE
GCA_001948695.1_ASM194869v1,I0004265-0,LIN-4,TRUE
GCA_001948685.1_ASM194868v1,I0004266-8,LIN-4,TRUE
GCF_001946795.1_ASM194679v1,I0004269-2,LIN-4,TRUE
GCF_001948645.1_ASM194864v1,I0004277-5,LIN-4,TRUE
GCA_001944375.1_ASM194437v1,I0004290-8,LIN-4,TRUE
GCA_001844905.1_ASM184490v1,I0004294-0,LIN-2,TRUE
GCA_001948605.1_ASM194860v1,I0004300-5,LIN-4,TRUE
GCA_001945065.1_ASM194506v1,I0004304-7,LIN-4,TRUE
GCA_001946865.1_ASM194686v1,I0004311-2,LIN-4,TRUE
GCA_001845305.1_ASM184530v1,I0004320-3,LIN-4,TRUE
GCF_001845405.1_ASM184540v1,I0004342-7,LIN-4,TRUE
GCA_001948885.1_ASM194888v1,I0004385-6,LIN-4,TRUE
GCA_001843275.1_ASM184327v1,I0004407-8,LIN-4,TRUE
GCA_001947805.1_ASM194780v1,I0004426-8,LIN-4,TRUE
GCA_001845005.1_ASM184500v1,I0004435-9,LIN-4,TRUE
GCA_001845265.1_ASM184526v1,I0004437-5,LIN-4,TRUE
GCA_001942905.1_ASM194290v1,I0004445-8,LIN-4,TRUE
GCA_001845175.1_ASM184517v1,I0004458-1,LIN-4,TRUE
GCA_001947755.1_ASM194775v1,I0004478-9,LIN-4,TRUE
GCA_001944155.1_ASM194415v1,I0004509-1,LIN-4,TRUE
GCA_001948765.1_ASM194876v1,I0004527-3,LIN-2,TRUE
GCA_001943895.1_ASM194389v1,I0004542-2,LIN-4,TRUE
GCA_001947135.1_ASM194713v1,I0004549-7,LIN-4,TRUE
GCA_001947885.1_ASM194788v1,I0004553-9,LIN-4,TRUE
GCA_001845345.1_ASM184534v1,I0004556-2,LIN-4,TRUE
GCF_001845515.1_ASM184551v1,I0004557-0,LIN-4,TRUE
GCA_001947975.1_ASM194797v1,I0004564-6,LIN-4,TRUE
GCA_001943725.1_ASM194372v1,I0004608-1,LIN-4,TRUE
GCF_001947025.1_ASM194702v1,I0004625-5,LIN-4,TRUE
GCA_001943915.1_ASM194391v1,I0004631-3,LIN-4,TRUE
GCA_001843985.1_ASM184398v1,I0004703-0,LIN-4,TRUE
GCA_001944365.1_ASM194436v1,I0004722-0,LIN-4,TRUE
GCA_001948925.1_ASM194892v1,I0004727-9,LIN-4,TRUE
GCA_001844685.1_ASM184468v1,I0004741-0,LIN-4,TRUE
GCA_001945235.1_ASM194523v1,I0004744-4,LIN-4,TRUE
GCA_001845585.1_ASM184558v1,I0004746-9,LIN-4,TRUE
GCA_001948945.1_ASM194894v1,I0004748-5,LIN-4,TRUE
GCA_001845325.1_ASM184532v1,I0004765-9,LIN-4,TRUE
GCA_001845435.1_ASM184543v1,I0004766-7,LIN-4,TRUE
GCA_001947985.1_ASM194798v1,I0004768-3,LIN-4,TRUE
GCA_001947105.1_ASM194710v1,I0004783-2,LIN-4,TRUE
GCA_001845455.1_ASM184545v1,I0004816-0,LIN-4,TRUE
GCA_001944325.1_ASM194432v1,I0004826-9,LIN-4,TRUE
GCA_001845495.1_ASM184549v1,I0004829-3,LIN-4,TRUE
GCA_001943495.1_ASM194349v1,I0004842-6,LIN-4,TRUE
GCA_001944225.1_ASM194422v1,I0004851-7,LIN-4,TRUE
GCA_001943755.1_ASM194375v1,I0004898-8,LIN-4,TRUE
GCA_001947965.1_ASM194796v1,I0004903-6,LIN-4,TRUE
GCA_001944535.1_ASM194453v1,I0004913-5,LIN-2,TRUE
GCA_001845415.1_ASM184541v1,I0005224-6,LIN-4,TRUE
GCA_001944415.1_ASM194441v1,I0005227-9,LIN-4,TRUE
GCF_001943825.1_ASM194382v1,I0005229-5,LIN-4,TRUE
GCF_001942875.1_ASM194287v1,I0005235-2,LIN-4,TRUE
GCA_001947065.1_ASM194706v1,I0005247-7,LIN-4,TRUE
GCA_001945145.1_ASM194514v1,I0005268-3,LIN-4,TRUE
GCA_001843255.1_ASM184325v1,I0005275-8,LIN-4,TRUE
GCA_001943665.1_ASM194366v1,I0005322-8,LIN-4,TRUE
GCA_001944545.1_ASM194454v1,I0005324-4,LIN-4,TRUE
GCA_001948855.1_ASM194885v1,I0005328-5,LIN-4,TRUE
GCA_001943645.1_ASM194364v1,I0005345-9,LIN-4,TRUE
GCA_001947915.1_ASM194791v1,I0005346-7,LIN-4,TRUE
GCF_001943445.1_ASM194344v1,I0005363-2,LIN-4,TRUE
GCA_001843215.1_ASM184321v1,I0005402-8,LIN-4,TRUE
GCA_001947995.1_ASM194799v1,I0005404-4,LIN-4,TRUE
GCA_001844005.1_ASM184400v1,I0005416-8,LIN-4,TRUE
GCA_001948865.1_ASM194886v1,I0005422-6,LIN-4,TRUE
GCA_001944215.1_ASM194421v1,I0005429-1,LIN-4,TRUE
GCF_001942645.1_ASM194264v1,I0005430-9,LIN-4,TRUE
GCA_001855975.1_ASM185597v1,I0005431-7,LIN-4,TRUE
GCA_001948075.1_ASM194807v1,I0005434-1,LIN-4,TRUE
GCA_001844095.1_ASM184409v1,I0005443-2,LIN-4,TRUE
GCA_001948965.1_ASM194896v1,I0005510-8,LIN-4,TRUE
GCA_001945305.1_ASM194530v1,I0005535-5,LIN-4,TRUE
GCA_001843355.1_ASM184335v1,I0005546-2,LIN-4,TRUE
GCA_001942635.1_ASM194263v1,I0005643-7,LIN-2,TRUE
GCA_001943435.1_ASM194343v1,I0005669-2,LIN-4,TRUE
GCA_001843885.1_ASM184388v1,I0005682-5,LIN-4,TRUE
GCA_001944295.1_ASM194429v1,I0005691-6,LIN-4,TRUE
GCA_001948055.1_ASM194805v1,I0005700-5,LIN-4,TRUE
GCA_001843765.1_ASM184376v1,I0005704-7,LIN-4,TRUE
GCA_001943565.1_ASM194356v1,I0005705-4,LIN-4,TRUE
GCA_001943295.1_ASM194329v1,I0005710-4,LIN-4,TRUE
GCF_001942885.1_ASM194288v1,I0005713-8,LIN-4,TRUE
GCA_001947185.1_ASM194718v1,I0005720-3,LIN-4,TRUE
GCF_001943905.1_ASM194390v1,I0005726-0,LIN-4,TRUE
GCA_001947195.1_ASM194719v1,I0005728-6,LIN-4,TRUE
GCA_001948045.1_ASM194804v1,I0005730-2,LIN-4,TRUE
GCA_001943375.1_ASM194337v1,I0005755-9,LIN-4,TRUE
GCF_001842775.1_ASM184277v1,I0005760-9,LIN-4,TRUE
GCA_001949015.1_ASM194901v1,I0005796-3,LIN-4,TRUE
GCA_001945325.1_ASM194532v1,I0005814-4,LIN-4,TRUE
GCA_001945155.1_ASM194515v1,I0005874-8,LIN-4,TRUE
GCA_001843405.1_ASM184340v1,I0005970-4,LIN-4,TRUE
GCA_001945165.1_ASM194516v1,I0005973-8,LIN-4,TRUE
GCA_001845595.1_ASM184559v1,I0005975-3,LIN-4,TRUE
GCA_001206975.1_6505_2_4,I00200020,LIN-4,TRUE
GCA_001209665.1_5237_5_7,I00300092,LIN-4,TRUE
GCA_001318105.1_5237_5_8,I00300818,LIN-4,TRUE
GCA_001204175.1_5237_5_9,I00601066,LIN-4,TRUE
GCA_001196315.1_6505_2_2,I09400880,LIN-4,TRUE
GCA_001206715.1_6505_2_5,I09400970,LIN-4,TRUE
GCA_001164205.1_5237_5_5,I09601853,LIN-4,TRUE
GCA_001205295.1_6505_2_3,I09702330,LIN-4,TRUE
GCA_001205215.1_5237_5_6,I09800059,LIN-4,TRUE
GCA_002101935.1_ASM210193v1,IEC1808,NONE,FALSE
GCA_000524175.1_reference_map,INS_MDR,LIN-4,TRUE
GCA_000526115.1_reference_map,INS_SEN,LIN-4,TRUE
GCA_000524155.1_reference_map,INS_XDR,LIN-4,TRUE
GCA_001954195.1_ASM195419v1,IS-1264,NONE,FALSE
GCA_001499995.1_ASM149999v1,IS-1496,NONE,FALSE
GCA_001499985.1_ASM149998v1,IS-1556,NONE,FALSE
GCA_001500025.1_ASM150002v1,IS-1590,NONE,FALSE
GCA_001500125.1_ASM150012v1,IS-1742,NONE,FALSE
GCA_001499925.1_ASM149992v1,IS-1744,NONE,FALSE
GCA_001954215.1_ASM195421v1,IS-2888,NONE,FALSE
GCA_001500065.1_ASM150006v1,IS-3022,NONE,FALSE
GCA_001954275.1_ASM195427v1,IS-836,NONE,FALSE
GCA_002000215.1_ASM200021v1,ISOLATE46,LIN-2,TRUE
GCA_002000185.1_ASM200018v1,ISOLATE48,LIN-2,TRUE
GCA_002968335.1_ASM296833v1,ITM-2016-00316,NONE,FALSE
GCA_002968295.1_ASM296829v1,ITM-2016-00317,NONE,FALSE
GCA_002968285.1_ASM296828v1,ITM-2016-00318,NONE,FALSE
GCA_002980235.1_ASM298023v1,ITM-2017-0098,NONE,FALSE
GCA_001173265.1_5227_5_1,J09400698,LIN-4,TRUE
GCA_001317985.1_5227_5_2,J09401337,LIN-4,TRUE
GCA_001174865.1_5227_5_3,J09402203,LIN-4,TRUE
GCA_001204535.1_5227_5_4,J09500385,LIN-4,TRUE
GCA_001194055.1_5227_5_5,J09500392,LIN-4,TRUE
GCA_001201335.1_5227_5_6,J09602061,LIN-4,TRUE
GCA_001197095.1_5227_5_7,J09700140,LIN-4,TRUE
GCA_001317925.1_5227_5_8,J09700837,LIN-4,TRUE
GCA_001193195.1_5227_5_9,J09701231,LIN-4,TRUE
GCA_001318525.1_5477_7_10,J09701362,LIN-4,TRUE
GCA_001204715.1_5227_5_10,J09701593,LIN-4,TRUE
GCA_001195645.1_5227_5_11,J09701920,LIN-4,TRUE
GCA_001202555.1_5227_5_12,J09800554,LIN-4,TRUE
GCA_001201915.1_5227_6_1,J09800628,LIN-4,TRUE
GCA_001195765.1_5227_6_2,J09800745,LIN-4,TRUE
GCA_001209965.1_5227_6_3,J09900137,LIN-4,TRUE
GCA_001318005.1_5227_6_4,J09900221,LIN-4,TRUE
GCA_001195965.1_5227_6_5,J09900583,LIN-4,TRUE
GCA_001318025.1_5227_6_6,J09902073,LIN-4,TRUE
GCA_001287425.1_bcg_Tokyo,Japan,LIN-B,TRUE
GCA_000016005.1_ASM1600v1,JLS,NONE,FALSE
GCA_000328565.1_ASM32856v1,JS623,NONE,FALSE
GCF_000698475.1_ASM69847v1,K,LIN-2,TRUE
GCA_001318945.1_6505_2_8,K00101539,LIN-1,TRUE
GCA_001318965.1_6505_2_9,K00200539,LIN-4,TRUE
GCA_001207555.1_6505_4_2,K00201415,LIN-4,TRUE
GCA_001211145.1_6505_2_10,K00500041,LIN-4,TRUE
GCA_001207715.1_6505_4_3,K00500133,LIN-4,TRUE
GCA_001204235.1_5477_8_8,K00700186,LIN-4,TRUE
GCA_001318725.1_6505_2_6,K09600911,LIN-4,TRUE
GCA_001201495.1_6505_2_11,K09700503,LIN-4,TRUE
GCA_001200255.1_6505_2_7,K09900646,LIN-4,TRUE
GCA_001202715.1_5237_5_11,K09901478,LIN-4,TRUE
GCA_001196715.1_6505_4_1,K09901972,LIN-4,TRUE
GCA_000665865.1_Myco_afri_K85_V1,K85_1,LIN-6,TRUE
GCA_000159775.1_ASM15977v1,K85,LIN-6,TRUE
GCA_000658555.1_Myco_bovi_Kc_32216_V1,Kc-32216,LIN-4,TRUE
GCA_000649735.1_Myco_bovi_Kc_9614_V1,Kc-9614,LIN-4,TRUE
GCA_001445395.1_ASM144539v1,KI_19771,LIN-4,TRUE
GCF_000706665.1_ASM70666v1,KIT87190,LIN-2,TRUE
GCA_000015405.1_ASM1540v1,KMS,NONE,FALSE
GCA_000338715.2_ASM33871v2,Korea1168P,LIN-B,TRUE
GCA_000673515.1_Myco_tube_KT-0001_V1,KT-0001,LIN-2,TRUE
GCA_000673535.1_Myco_tube_KT-0002_V1,KT-0002,LIN-2,TRUE
GCA_000673555.1_Myco_tube_KT-0003_V1,KT-0003,LIN-2,TRUE
GCA_000669315.1_Myco_tube_KT-_0004_V1,KT-0004,LIN-2,TRUE
GCA_000804265.1_ASM80426v1,KT-0005,LIN-2,TRUE
GCA_000673575.1_Myco_tube_KT-0006_V1,KT-0006,LIN-2,TRUE
GCA_000673595.1_Myco_tube_KT-0007_V1,KT-0007,LIN-2,TRUE
GCA_000673615.1_Myco_tube_KT-0008_V1,KT-0008,LIN-2,TRUE
GCA_000669335.1_Myco_tube_KT-_0010_V1,KT-0010,LIN-2,TRUE
GCA_000673635.1_Myco_tube_KT-0011_V1,KT-0011,LIN-2,TRUE
GCA_000669355.1_Myco_tube_KT-_0012_V1,KT-0012,LIN-2,TRUE
GCA_000673655.1_Myco_tube_KT-0014_V1,KT-0014,LIN-2,TRUE
GCA_000673675.1_Myco_tube_KT-0015_V1,KT-0015,LIN-2,TRUE
GCA_000673695.1_Myco_tube_KT-0016_V1,KT-0016,LIN-2,TRUE
GCA_000673715.1_Myco_tube_KT-0017_V1,KT-0017,LIN-2,TRUE
GCA_000657935.1_Myco_tube_KT-_0018_V1,KT-0018,LIN-2,TRUE
